

---------------------------------------------------

Inference for Stan model: anon_model_f0a4b0a480636fcaa2be8ca6b94a0f70.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu[94]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[95]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[96]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[97]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[98]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[99]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[100]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[101]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[102]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[103]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[104]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[105]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[106]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[107]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[108]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[109]       -8.03  1.8e-3   0.11  -8.26  -8.11  -8.03  -7.96   -7.8   4000    1.0
mu[110]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[111]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[112]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[113]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[114]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[115]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[116]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[117]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[118]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
mu[119]       -9.49  7.0e-3   0.38 -10.18  -9.74  -9.52  -9.27  -8.68   2908    1.0
